id_lote,id_med,cod_medicamento,nom_medicamento,lote,estado_articulo,estado_lote,existencia,val_promedio,fec_vencimiento
1847,15696,15696,ACETAMINOFEN 150 MG FCO X120 ML,L2022001,Activo,Activo,0,0.0000,2026-12-31
1941,15696,15696,ACETAMINOFEN 150 MG FCO X120 ML,L2022001,Activo,Activo,0,0.0000,2026-12-31
212,15697,15697,ACETAMINOFEN 500 MG TABLETA,L2022212,Activo,Activo,0,0.0000,2026-12-31
213,15697,15697,ACETAMINOFEN 500 MG TABLETA,L2022213,Activo,Activo,0,0.0000,2023-12-31
427,15697,15697,ACETAMINOFEN 500 MG TABLETA,L2022212,Activo,Activo,0,0.0000,2026-12-31
568,15697,15697,ACETAMINOFEN 500 MG TABLETA,L2022212,Activo,Activo,0,0.0000,2026-12-31
695,15697,15697,ACETAMINOFEN 500 MG TABLETA,L2022212,Activo,Activo,0,0.0000,2026-12-31
809,15697,15697,ACETAMINOFEN 500 MG TABLETA,L2022212,Activo,Activo,0,0.0000,2026-12-31
928,15697,15697,ACETAMINOFEN 500 MG TABLETA,L2022212,Activo,Activo,0,0.0000,2026-12-31
1044,15697,15697,ACETAMINOFEN 500 MG TABLETA,L2022212,Activo,Activo,0,0.0000,2026-12-31
1169,15697,15697,ACETAMINOFEN 500 MG TABLETA,L2022212,Activo,Activo,0,0.0000,2026-12-31
1280,15697,15697,ACETAMINOFEN 500 MG TABLETA,L2022212,Activo,Activo,0,0.0000,2026-12-31
1373,15697,15697,ACETAMINOFEN 500 MG TABLETA,L2022212,Activo,Activo,0,0.0000,2026-12-31
1501,15697,15697,ACETAMINOFEN 500 MG TABLETA,L2022212,Activo,Activo,0,0.0000,2026-12-31
1626,15697,15697,ACETAMINOFEN 500 MG TABLETA,L2022212,Activo,Activo,0,0.0000,2026-12-31
1803,15697,15697,ACETAMINOFEN 500 MG TABLETA,L2022212,Activo,Activo,0,0.0000,2026-12-31
1917,15697,15697,ACETAMINOFEN 500 MG TABLETA,L2022212,Activo,Activo,0,0.0000,2026-12-31
2062,15697,15697,ACETAMINOFEN 500 MG TABLETA,L2022212,Activo,Activo,0,0.0000,2026-12-31
2063,15697,15697,ACETAMINOFEN 500 MG TABLETA,L2022213,Activo,Activo,0,0.0000,2023-12-31
2209,15697,15697,ACETAMINOFEN 500 MG TABLETA,L2022212,Activo,Activo,0,0.0000,2026-12-31
2341,15697,15697,ACETAMINOFEN 500 MG TABLETA,L2022212,Activo,Activo,0,0.0000,2026-12-31
4157,15697,15697,ACETAMINOFEN 500 MG TABLETA,G32744,Activo,Activo,0,0.0000,2027-02-28
4158,15697,15697,ACETAMINOFEN 500 MG TABLETA,G29064,Activo,Activo,0,0.0000,2026-11-30
243,15700,15700,ACETATO DE ALUMINIO 2.2G,L2022243,Activo,Activo,0,0.0000,2026-12-31
440,15700,15700,ACETATO DE ALUMINIO 2.2G,1643,Activo,Activo,0,0.0000,2026-12-31
820,15700,15700,ACETATO DE ALUMINIO 2.2G,1643,Activo,Activo,0,0.0000,2026-12-31
1053,15700,15700,ACETATO DE ALUMINIO 2.2G,1643,Activo,Activo,0,0.0000,2026-12-31
1177,15700,15700,ACETATO DE ALUMINIO 2.2G,1643,Activo,Activo,0,0.0000,2026-12-31
1516,15700,15700,ACETATO DE ALUMINIO 2.2G,1643,Activo,Activo,0,0.0000,2026-12-31
1643,15700,15700,ACETATO DE ALUMINIO 2.2G,1643,Activo,Activo,0,0.0000,2026-12-31
4060,8864,8864,ACETATO DE MEDROXIPROGESTERONA 150 MG (ILEINE) SOL. INYECTABLE,20227397-10,Activo,Activo,0,0.0000,2026-12-31
4156,8864,8864,ACETATO DE MEDROXIPROGESTERONA 150 MG (ILEINE) SOL. INYECTABLE,8193262,Activo,Activo,0,0.0000,2026-08-30
4829,8864,8864,ACETATO DE MEDROXIPROGESTERONA 150 MG (ILEINE) SOL. INYECTABLE,4003223,Activo,Activo,0,0.0000,2027-02-28
4052,14056,14056,ACETILCISTEINA - 600MG X SOBRE.,2109001952,Activo,Activo,0,0.0000,2026-12-31
4162,14056,14056,ACETILCISTEINA - 600MG X SOBRE.,2211000961,Activo,Activo,0,0.0000,2026-03-30
4133,16365,16365,ACETILCISTEINA 200 MG SOBRE,RSC-2025,Activo,Activo,0,0.0000,2026-12-31
2,15701,15701,ACICLOVIR 200 MG TABLETA,L2022002,Activo,Activo,0,0.0000,2026-12-31
290,15701,15701,ACICLOVIR 200 MG TABLETA,L2022290,Activo,Activo,0,0.0000,2025-12-31
462,15701,15701,ACICLOVIR 200 MG TABLETA,1942,Activo,Activo,0,0.0000,2026-12-31
594,15701,15701,ACICLOVIR 200 MG TABLETA,1942,Activo,Activo,0,0.0000,2026-12-31
834,15701,15701,ACICLOVIR 200 MG TABLETA,1942,Activo,Activo,0,0.0000,2026-12-31
955,15701,15701,ACICLOVIR 200 MG TABLETA,1942,Activo,Activo,0,0.0000,2026-12-31
1070,15701,15701,ACICLOVIR 200 MG TABLETA,1942,Activo,Activo,0,0.0000,2026-12-31
1654,15701,15701,ACICLOVIR 200 MG TABLETA,1942,Activo,Activo,0,0.0000,2026-12-31
1942,15701,15701,ACICLOVIR 200 MG TABLETA,1942,Activo,Activo,0,0.0000,2026-12-31
2238,15701,15701,ACICLOVIR 200 MG TABLETA,L2022290,Activo,Activo,0,0.0000,2025-12-31
281,15702,15702,ACICLOVIR 5 %  UNGÜENTO TÓPICO,L2022281,Activo,Activo,0,0.0000,2026-12-31
591,15702,15702,ACICLOVIR 5 %  UNGÜENTO TÓPICO,1191,Activo,Activo,0,0.0000,2026-12-31
1066,15702,15702,ACICLOVIR 5 %  UNGÜENTO TÓPICO,1191,Activo,Activo,0,0.0000,2026-12-31
1191,15702,15702,ACICLOVIR 5 %  UNGÜENTO TÓPICO,1191,Activo,Activo,0,0.0000,2026-12-31
4091,16315,16315,ACICLOVIR 5G -100G,26672,Activo,Activo,0,0.0000,2025-04-30
4134,16366,16366,ACICLOVIR CREMA TOPICA AL 5% - TUBO X 20 GR,1192,Activo,Activo,0,0.0000,2026-12-31
3,15703,15703,ACIDO ACETIL SALICILICO 100 MG TABLETA,L2022003,Activo,Activo,0,0.0000,2026-12-31
463,15703,15703,ACIDO ACETIL SALICILICO 100 MG TABLETA,L2022003,Activo,Activo,0,0.0000,2026-12-31
595,15703,15703,ACIDO ACETIL SALICILICO 100 MG TABLETA,L2022003,Activo,Activo,0,0.0000,2026-12-31
724,15703,15703,ACIDO ACETIL SALICILICO 100 MG TABLETA,L2022003,Activo,Activo,0,0.0000,2026-12-31
835,15703,15703,ACIDO ACETIL SALICILICO 100 MG TABLETA,L2022003,Activo,Activo,0,0.0000,2026-12-31
956,15703,15703,ACIDO ACETIL SALICILICO 100 MG TABLETA,L2022003,Activo,Activo,0,0.0000,2026-12-31
1071,15703,15703,ACIDO ACETIL SALICILICO 100 MG TABLETA,L2022003,Activo,Activo,0,0.0000,2026-12-31
1197,15703,15703,ACIDO ACETIL SALICILICO 100 MG TABLETA,L2022003,Activo,Activo,0,0.0000,2026-12-31
1303,15703,15703,ACIDO ACETIL SALICILICO 100 MG TABLETA,L2022003,Activo,Activo,0,0.0000,2026-12-31
1538,15703,15703,ACIDO ACETIL SALICILICO 100 MG TABLETA,L2022003,Activo,Activo,0,0.0000,2026-12-31
1655,15703,15703,ACIDO ACETIL SALICILICO 100 MG TABLETA,L2022003,Activo,Activo,0,0.0000,2026-12-31
1943,15703,15703,ACIDO ACETIL SALICILICO 100 MG TABLETA,L2022003,Activo,Activo,0,0.0000,2026-12-31
2091,15703,15703,ACIDO ACETIL SALICILICO 100 MG TABLETA,L2022003,Activo,Activo,0,0.0000,2026-12-31
2247,15703,15703,ACIDO ACETIL SALICILICO 100 MG TABLETA,L2022003,Activo,Activo,0,0.0000,2026-12-31
4163,15703,15703,ACIDO ACETIL SALICILICO 100 MG TABLETA,111883,Activo,Activo,0,0.0000,2027-08-30
4164,15703,15703,ACIDO ACETIL SALICILICO 100 MG TABLETA,987421,Activo,Activo,0,0.0000,2027-05-30
4945,15703,15703,ACIDO ACETIL SALICILICO 100 MG TABLETA,ECL0727,Activo,Activo,0,0.0000,2026-01-30
214,15704,15704,ÁCIDO ASCÓRBICO 100 MG FCO X 30 ML,L2022214,Activo,Activo,0,0.0000,2026-05-31
2064,15704,15704,ÁCIDO ASCÓRBICO 100 MG FCO X 30 ML,L2022214,Activo,Activo,0,0.0000,2026-05-31
4135,15704,15704,ÁCIDO ASCÓRBICO 100 MG FCO X 30 ML,L2022214,Activo,Activo,0,0.0000,2026-12-31
4,16005,16005,ACIDO ASCORBICO 100 MG/ML SOLUCION ORAL,L2022004,Activo,Activo,0,0.0000,2025-12-31
320,16005,16005,ACIDO ASCORBICO 100 MG/ML SOLUCION ORAL,L2022004,Activo,Activo,0,0.0000,2025-12-31
836,16005,16005,ACIDO ASCORBICO 100 MG/ML SOLUCION ORAL,L2022004,Activo,Activo,0,0.0000,2025-12-31
1389,16005,16005,ACIDO ASCORBICO 100 MG/ML SOLUCION ORAL,L2022004,Activo,Activo,0,0.0000,2025-12-31
1539,16005,16005,ACIDO ASCORBICO 100 MG/ML SOLUCION ORAL,L2022004,Activo,Activo,0,0.0000,2025-12-31
1656,16005,16005,ACIDO ASCORBICO 100 MG/ML SOLUCION ORAL,L2022004,Activo,Activo,0,0.0000,2025-12-31
1848,16005,16005,ACIDO ASCORBICO 100 MG/ML SOLUCION ORAL,L2022004,Activo,Activo,0,0.0000,2025-12-31
1944,16005,16005,ACIDO ASCORBICO 100 MG/ML SOLUCION ORAL,L2022004,Activo,Activo,0,0.0000,2025-12-31
2092,16005,16005,ACIDO ASCORBICO 100 MG/ML SOLUCION ORAL,L2022004,Activo,Activo,0,0.0000,2025-12-31
4165,16005,16005,ACIDO ASCORBICO 100 MG/ML SOLUCION ORAL,G04115,Activo,Activo,0,0.0000,2027-02-28
4971,16005,16005,ACIDO ASCORBICO 100 MG/ML SOLUCION ORAL,G00665,Activo,Activo,0,0.0000,2027-01-01
215,15705,15705,ACIDO ASCORBICO 500MG TABLETAS,L2022215,Activo,Activo,0,0.0000,2026-12-31
428,15705,15705,ACIDO ASCORBICO 500MG TABLETAS,2342,Activo,Activo,0,0.0000,2026-12-31
569,15705,15705,ACIDO ASCORBICO 500MG TABLETAS,2342,Activo,Activo,0,0.0000,2026-12-31
696,15705,15705,ACIDO ASCORBICO 500MG TABLETAS,2342,Activo,Activo,0,0.0000,2026-12-31
810,15705,15705,ACIDO ASCORBICO 500MG TABLETAS,2342,Activo,Activo,0,0.0000,2026-12-31
929,15705,15705,ACIDO ASCORBICO 500MG TABLETAS,2342,Activo,Activo,0,0.0000,2026-12-31
1281,15705,15705,ACIDO ASCORBICO 500MG TABLETAS,2342,Activo,Activo,0,0.0000,2026-12-31
1374,15705,15705,ACIDO ASCORBICO 500MG TABLETAS,2342,Activo,Activo,0,0.0000,2026-12-31
1502,15705,15705,ACIDO ASCORBICO 500MG TABLETAS,2342,Activo,Activo,0,0.0000,2026-12-31
1627,15705,15705,ACIDO ASCORBICO 500MG TABLETAS,2342,Activo,Activo,0,0.0000,2026-12-31
1804,15705,15705,ACIDO ASCORBICO 500MG TABLETAS,2342,Activo,Activo,0,0.0000,2026-12-31
1918,15705,15705,ACIDO ASCORBICO 500MG TABLETAS,2342,Activo,Activo,0,0.0000,2026-12-31
2065,15705,15705,ACIDO ASCORBICO 500MG TABLETAS,2342,Activo,Activo,0,0.0000,2026-12-31
2210,15705,15705,ACIDO ASCORBICO 500MG TABLETAS,2342,Activo,Activo,0,0.0000,2026-12-31
2342,15705,15705,ACIDO ASCORBICO 500MG TABLETAS,2342,Activo,Activo,0,0.0000,2026-12-31
4166,15705,15705,ACIDO ASCORBICO 500MG TABLETAS,F070402,Activo,Activo,0,0.0000,2027-07-30
4774,15705,15705,ACIDO ASCORBICO 500MG TABLETAS,F081324,Activo,Activo,0,0.0000,2027-09-30
5,15706,15706,ÁCIDO FÓLICO 1 GR TABLETA UNIDAD,L2022005,Activo,Activo,0,0.0000,2026-12-31
321,15706,15706,ÁCIDO FÓLICO 1 GR TABLETA UNIDAD,2248,Activo,Activo,0,0.0000,2026-12-31
464,15706,15706,ÁCIDO FÓLICO 1 GR TABLETA UNIDAD,2248,Activo,Activo,0,0.0000,2026-12-31
596,15706,15706,ÁCIDO FÓLICO 1 GR TABLETA UNIDAD,2248,Activo,Activo,0,0.0000,2026-12-31
725,15706,15706,ÁCIDO FÓLICO 1 GR TABLETA UNIDAD,2248,Activo,Activo,0,0.0000,2026-12-31
837,15706,15706,ÁCIDO FÓLICO 1 GR TABLETA UNIDAD,2248,Activo,Activo,0,0.0000,2026-12-31
957,15706,15706,ÁCIDO FÓLICO 1 GR TABLETA UNIDAD,2248,Activo,Activo,0,0.0000,2026-12-31
1072,15706,15706,ÁCIDO FÓLICO 1 GR TABLETA UNIDAD,2248,Activo,Activo,0,0.0000,2026-12-31
1198,15706,15706,ÁCIDO FÓLICO 1 GR TABLETA UNIDAD,2248,Activo,Activo,0,0.0000,2026-12-31
1304,15706,15706,ÁCIDO FÓLICO 1 GR TABLETA UNIDAD,2248,Activo,Activo,0,0.0000,2026-12-31
1390,15706,15706,ÁCIDO FÓLICO 1 GR TABLETA UNIDAD,2248,Activo,Activo,0,0.0000,2026-12-31
1540,15706,15706,ÁCIDO FÓLICO 1 GR TABLETA UNIDAD,2248,Activo,Activo,0,0.0000,2026-12-31
1657,15706,15706,ÁCIDO FÓLICO 1 GR TABLETA UNIDAD,2248,Activo,Activo,0,0.0000,2026-12-31
1849,15706,15706,ÁCIDO FÓLICO 1 GR TABLETA UNIDAD,2248,Activo,Activo,0,0.0000,2026-12-31
1945,15706,15706,ÁCIDO FÓLICO 1 GR TABLETA UNIDAD,2248,Activo,Activo,0,0.0000,2026-12-31
2093,15706,15706,ÁCIDO FÓLICO 1 GR TABLETA UNIDAD,2248,Activo,Activo,0,0.0000,2026-12-31
2248,15706,15706,ÁCIDO FÓLICO 1 GR TABLETA UNIDAD,2248,Activo,Activo,0,0.0000,2026-12-31
4136,15706,15706,ÁCIDO FÓLICO 1 GR TABLETA UNIDAD,L2022005,Activo,Activo,0,0.0000,2026-12-31
4167,15706,15706,ÁCIDO FÓLICO 1 GR TABLETA UNIDAD,E010288,Activo,Activo,0,0.0000,2026-01-30
4775,15706,15706,ÁCIDO FÓLICO 1 GR TABLETA UNIDAD,F030634,Activo,Activo,0,0.0000,2027-04-30
4092,16317,16317,ACIDO FUSIDICO UNGÜENTO TOPICO AL 2%,G36942,Activo,Activo,0,0.0000,2025-11-01
4137,16317,16317,ACIDO FUSIDICO UNGÜENTO TOPICO AL 2%,G36942,Activo,Activo,0,0.0000,2026-12-31
4168,16317,16317,ACIDO FUSIDICO UNGÜENTO TOPICO AL 2%,D02765A,Activo,Activo,0,0.0000,2025-12-30
4038,12628,12628,ACIDO TRANEXAMICO - 500 MG - AMPOLLA POR 5 ML,L2022334,Activo,Activo,1990,250.0000,2026-12-31
4178,12628,12628,ACIDO TRANEXAMICO - 500 MG - AMPOLLA POR 5 ML,243212096,Activo,Activo,0,250.0000,2027-08-30
4179,12628,12628,ACIDO TRANEXAMICO - 500 MG - AMPOLLA POR 5 ML,725008,Activo,Activo,0,250.0000,2027-05-30
4180,12628,12628,ACIDO TRANEXAMICO - 500 MG - AMPOLLA POR 5 ML,725009,Activo,Activo,0,250.0000,2027-06-30
4776,12628,12628,ACIDO TRANEXAMICO - 500 MG - AMPOLLA POR 5 ML,253212062,Activo,Activo,0,250.0000,2028-05-30
4149,16375,16375,ACIDO TRANEXAMICO 500 MG,RSC12350,Activo,Activo,0,0.0000,2026-12-31
216,15707,15707,ÁCIDO VALPROICO 250 MG CAPSULA,L2022216,Activo,Activo,0,0.0000,2023-12-31
811,15707,15707,ÁCIDO VALPROICO 250 MG CAPSULA,L2022216,Activo,Activo,0,0.0000,2023-12-31
1628,15707,15707,ÁCIDO VALPROICO 250 MG CAPSULA,L2022216,Activo,Activo,0,0.0000,2023-12-31
1805,15707,15707,ÁCIDO VALPROICO 250 MG CAPSULA,L2022216,Activo,Activo,0,0.0000,2023-12-31
2066,15707,15707,ÁCIDO VALPROICO 250 MG CAPSULA,L2022216,Activo,Activo,0,0.0000,2023-12-31
2211,15707,15707,ÁCIDO VALPROICO 250 MG CAPSULA,L2022216,Activo,Activo,0,0.0000,2023-12-31
2343,15707,15707,ÁCIDO VALPROICO 250 MG CAPSULA,L2022216,Activo,Activo,0,0.0000,2023-12-31
4139,15707,15707,ÁCIDO VALPROICO 250 MG CAPSULA,L2022216,Activo,Activo,0,0.0000,2026-12-31
4140,16367,16367,ACIDO VALPROICO 250MG FRASCO X 120 ML,2209001675,Activo,Activo,0,0.0000,2026-12-31
2372,16012,16012,ADAPTADOR HEPARINIZADO CATETER,LP10003,Activo,Activo,0,0.0000,2023-12-31
2603,16012,16012,ADAPTADOR HEPARINIZADO CATETER,LP10003,Activo,Activo,0,0.0000,2023-12-31
2704,16012,16012,ADAPTADOR HEPARINIZADO CATETER,LP10003,Activo,Activo,0,0.0000,2023-12-31
2791,16012,16012,ADAPTADOR HEPARINIZADO CATETER,LP10003,Activo,Activo,0,0.0000,2023-12-31
2874,16012,16012,ADAPTADOR HEPARINIZADO CATETER,LP10003,Activo,Activo,0,0.0000,2023-12-31
3060,16012,16012,ADAPTADOR HEPARINIZADO CATETER,LP10003,Activo,Activo,0,0.0000,2023-12-31
3148,16012,16012,ADAPTADOR HEPARINIZADO CATETER,LP10003,Activo,Activo,0,0.0000,2023-12-31
3222,16012,16012,ADAPTADOR HEPARINIZADO CATETER,LP10003,Activo,Activo,0,0.0000,2023-12-31
3306,16012,16012,ADAPTADOR HEPARINIZADO CATETER,LP10003,Activo,Activo,0,0.0000,2023-12-31
3387,16012,16012,ADAPTADOR HEPARINIZADO CATETER,LP10003,Activo,Activo,0,0.0000,2023-12-31
3487,16012,16012,ADAPTADOR HEPARINIZADO CATETER,LP10003,Activo,Activo,0,0.0000,2023-12-31
3735,16012,16012,ADAPTADOR HEPARINIZADO CATETER,LP10003,Activo,Activo,0,0.0000,2023-12-31
3813,16012,16012,ADAPTADOR HEPARINIZADO CATETER,LP10003,Activo,Activo,0,0.0000,2023-12-31
3915,16012,16012,ADAPTADOR HEPARINIZADO CATETER,LP10003,Activo,Activo,0,0.0000,2023-12-31
4402,16012,16012,ADAPTADOR HEPARINIZADO CATETER,WB20241025,Activo,Activo,0,0.0000,2029-10-24
4403,16012,16012,ADAPTADOR HEPARINIZADO CATETER,WB20240615,Activo,Activo,0,0.0000,2029-06-14
4848,16012,16012,ADAPTADOR HEPARINIZADO CATETER,WB20250405,Activo,Activo,0,0.0000,2029-06-14
2371,16011,16011,ADAPTADOR HEPARINIZADO TAPON INTERMITENTE,LP10002,Activo,Activo,0,0.0000,2023-12-31
3649,16011,16011,ADAPTADOR HEPARINIZADO TAPON INTERMITENTE,LP10002,Activo,Activo,0,0.0000,2023-12-31
2373,16013,16013,ADAPTADOR TAPON HEPARINIZADO DESECHABLE,LP10004,Activo,Activo,0,0.0000,2023-12-31
3567,16013,16013,ADAPTADOR TAPON HEPARINIZADO DESECHABLE,LP10004,Activo,Activo,0,0.0000,2023-12-31
253,15708,15708,AGUA EST RIL PARA INYECCI N,L2022253,Activo,Activo,0,0.0000,2023-12-31
444,15708,15708,AGUA EST RIL PARA INYECCI N,L2022253,Activo,Activo,0,0.0000,2023-12-31
583,15708,15708,AGUA EST RIL PARA INYECCI N,L2022253,Activo,Activo,0,0.0000,2023-12-31
709,15708,15708,AGUA EST RIL PARA INYECCI N,L2022253,Activo,Activo,0,0.0000,2023-12-31
941,15708,15708,AGUA EST RIL PARA INYECCI N,L2022253,Activo,Activo,0,0.0000,2023-12-31
1057,15708,15708,AGUA EST RIL PARA INYECCI N,L2022253,Activo,Activo,0,0.0000,2023-12-31
1182,15708,15708,AGUA EST RIL PARA INYECCI N,L2022253,Activo,Activo,0,0.0000,2023-12-31
1295,15708,15708,AGUA EST RIL PARA INYECCI N,L2022253,Activo,Activo,0,0.0000,2023-12-31
1521,15708,15708,AGUA EST RIL PARA INYECCI N,L2022253,Activo,Activo,0,0.0000,2023-12-31
1827,15708,15708,AGUA EST RIL PARA INYECCI N,L2022253,Activo,Activo,0,0.0000,2023-12-31
1931,15708,15708,AGUA EST RIL PARA INYECCI N,L2022253,Activo,Activo,0,0.0000,2023-12-31
2228,15708,15708,AGUA EST RIL PARA INYECCI N,L2022253,Activo,Activo,0,0.0000,2023-12-31
2356,15708,15708,AGUA EST RIL PARA INYECCI N,L2022253,Activo,Activo,0,0.0000,2023-12-31
312,15709,15709,AGUA ESTERIL PARA INYECCION X 500 ML,L2022312,Activo,Activo,0,0.0000,2026-12-31
1937,15709,15709,AGUA ESTERIL PARA INYECCION X 500 ML,L2022312,Activo,Activo,0,0.0000,2026-12-31
4141,15709,15709,AGUA ESTERIL PARA INYECCION X 500 ML,L2022312,Activo,Activo,0,0.0000,2026-12-31
4169,15709,15709,AGUA ESTERIL PARA INYECCION X 500 ML,7AD503273,Activo,Activo,0,0.0000,2029-03-30
4170,15709,15709,AGUA ESTERIL PARA INYECCION X 500 ML,7AD503251,Activo,Activo,0,0.0000,2029-03-30
4972,15709,15709,AGUA ESTERIL PARA INYECCION X 500 ML,7AD407223,Activo,Activo,0,0.0000,2028-01-01
2374,16014,16014,AGUJA HIPODERMICA   21 G X 1,LP10005,Activo,Activo,0,0.0000,2023-12-31
3149,16014,16014,AGUJA HIPODERMICA   21 G X 1,LP10005,Activo,Activo,0,0.0000,2023-12-31
3568,16014,16014,AGUJA HIPODERMICA   21 G X 1,LP10005,Activo,Activo,0,0.0000,2023-12-31
3650,16014,16014,AGUJA HIPODERMICA   21 G X 1,LP10005,Activo,Activo,0,0.0000,2023-12-31
2375,16015,16015,AGUJA HIPODERMICA   23 G X 1,LP10006,Activo,Activo,0,0.0000,2023-12-31
2604,16015,16015,AGUJA HIPODERMICA   23 G X 1,LP10006,Activo,Activo,0,0.0000,2023-12-31
2705,16015,16015,AGUJA HIPODERMICA   23 G X 1,LP10006,Activo,Activo,0,0.0000,2023-12-31
2792,16015,16015,AGUJA HIPODERMICA   23 G X 1,LP10006,Activo,Activo,0,0.0000,2023-12-31
2875,16015,16015,AGUJA HIPODERMICA   23 G X 1,LP10006,Activo,Activo,0,0.0000,2023-12-31
2967,16015,16015,AGUJA HIPODERMICA   23 G X 1,LP10006,Activo,Activo,0,0.0000,2023-12-31
3061,16015,16015,AGUJA HIPODERMICA   23 G X 1,LP10006,Activo,Activo,0,0.0000,2023-12-31
3223,16015,16015,AGUJA HIPODERMICA   23 G X 1,LP10006,Activo,Activo,0,0.0000,2023-12-31
3307,16015,16015,AGUJA HIPODERMICA   23 G X 1,LP10006,Activo,Activo,0,0.0000,2023-12-31
3488,16015,16015,AGUJA HIPODERMICA   23 G X 1,LP10006,Activo,Activo,0,0.0000,2023-12-31
3569,16015,16015,AGUJA HIPODERMICA   23 G X 1,LP10006,Activo,Activo,0,0.0000,2023-12-31
3651,16015,16015,AGUJA HIPODERMICA   23 G X 1,LP10006,Activo,Activo,0,0.0000,2023-12-31
3814,16015,16015,AGUJA HIPODERMICA   23 G X 1,LP10006,Activo,Activo,0,0.0000,2023-12-31
3916,16015,16015,AGUJA HIPODERMICA   23 G X 1,LP10006,Activo,Activo,0,0.0000,2023-12-31
2376,16016,16016,AGUJA HIPODERMICA   23 G X 1 1/2,LP10007,Activo,Activo,0,0.0000,2023-12-31
2968,16016,16016,AGUJA HIPODERMICA   23 G X 1 1/2,LP10007,Activo,Activo,0,0.0000,2023-12-31
3062,16016,16016,AGUJA HIPODERMICA   23 G X 1 1/2,LP10007,Activo,Activo,0,0.0000,2023-12-31
3308,16016,16016,AGUJA HIPODERMICA   23 G X 1 1/2,LP10007,Activo,Activo,0,0.0000,2023-12-31
3570,16016,16016,AGUJA HIPODERMICA   23 G X 1 1/2,LP10007,Activo,Activo,0,0.0000,2023-12-31
3736,16016,16016,AGUJA HIPODERMICA   23 G X 1 1/2,LP10007,Activo,Activo,0,0.0000,2023-12-31
4405,16016,16016,AGUJA HIPODERMICA   23 G X 1 1/2,20240318,Activo,Activo,0,0.0000,2029-03-30
4406,16016,16016,AGUJA HIPODERMICA   23 G X 1 1/2,20250320,Activo,Activo,0,0.0000,2030-03-20
4850,16016,16016,AGUJA HIPODERMICA   23 G X 1 1/2,20250530,Activo,Activo,0,0.0000,2030-05-30
2377,16017,16017,AGUJA HIPODERMICA  21 X 1  1/2,LP10008,Activo,Activo,0,0.0000,2023-12-31
